G_ID,SR_ID,SEASON_ID,G_DT,G_TM,S_NM,AWAY_ID,HOME_ID,AWAY_NM,HOME_NM,CANCEL_SC_ID,CANCEL_SC_NM,SR_NM
,,,20150301,,,,,,,,,
,,,20150302,,,,,,,,,
,,,20150303,,,,,,,,,
,,,20150304,,,,,,,,,
,,,20150305,,,,,,,,,
,,,20150306,,,,,,,,,
20150307HTNC0,1,2015,20150307,13:00,마산,HT,NC,KIA,NC,0,정상경기,시범경기
20150307KTWO0,1,2015,20150307,13:00,목동,KT,WO,KT,넥센,0,정상경기,시범경기
20150307LGHH0,1,2015,20150307,13:00,한밭,LG,HH,LG,한화,0,정상경기,시범경기
20150307SKLT0,1,2015,20150307,13:00,사직,SK,LT,SK,롯데,0,정상경기,시범경기
20150307OBSS0,1,2015,20150307,13:00,포항,OB,SS,두산,삼성,0,정상경기,시범경기
20150308HTNC0,1,2015,20150308,13:00,마산,HT,NC,KIA,NC,0,정상경기,시범경기
20150308KTWO0,1,2015,20150308,13:00,목동,KT,WO,KT,넥센,0,정상경기,시범경기
20150308LGHH0,1,2015,20150308,13:00,한밭,LG,HH,LG,한화,0,정상경기,시범경기
20150308SKLT0,1,2015,20150308,13:00,사직,SK,LT,SK,롯데,0,정상경기,시범경기
20150308OBSS0,1,2015,20150308,13:00,포항,OB,SS,두산,삼성,0,정상경기,시범경기
,,,20150309,,,,,,,,,
20150310KTNC0,1,2015,20150310,13:00,마산,KT,NC,KT,NC,2,한파취소,시범경기
20150310OBWO0,1,2015,20150310,13:00,목동,OB,WO,두산,넥센,2,한파취소,시범경기
20150310SKHH0,1,2015,20150310,13:00,한밭,SK,HH,SK,한화,2,한파취소,시범경기
20150310LGLT0,1,2015,20150310,13:00,사직,LG,LT,LG,롯데,2,한파취소,시범경기
20150310HTSS0,1,2015,20150310,13:00,포항,HT,SS,KIA,삼성,2,한파취소,시범경기
20150311KTNC0,1,2015,20150311,13:00,마산,KT,NC,KT,NC,0,정상경기,시범경기
20150311OBWO0,1,2015,20150311,13:00,목동,OB,WO,두산,넥센,2,한파취소,시범경기
20150311SKHH0,1,2015,20150311,13:00,한밭,SK,HH,SK,한화,0,정상경기,시범경기
20150311LGLT0,1,2015,20150311,13:00,사직,LG,LT,LG,롯데,0,정상경기,시범경기
20150311HTSS0,1,2015,20150311,13:00,포항,HT,SS,KIA,삼성,0,정상경기,시범경기
20150312HTWO0,1,2015,20150312,13:00,목동,HT,WO,KIA,넥센,0,정상경기,시범경기
20150312OBHH0,1,2015,20150312,13:00,한밭,OB,HH,두산,한화,0,정상경기,시범경기
20150312SKNC0,1,2015,20150312,13:00,마산,SK,NC,SK,NC,0,정상경기,시범경기
20150312KTLT0,1,2015,20150312,13:00,사직,KT,LT,KT,롯데,0,정상경기,시범경기
20150312LGSS0,1,2015,20150312,13:00,포항,LG,SS,LG,삼성,0,정상경기,시범경기
20150313HTWO0,1,2015,20150313,13:00,목동,HT,WO,KIA,넥센,0,정상경기,시범경기
20150313OBHH0,1,2015,20150313,13:00,한밭,OB,HH,두산,한화,0,정상경기,시범경기
20150313SKNC0,1,2015,20150313,13:00,마산,SK,NC,SK,NC,0,정상경기,시범경기
20150313KTLT0,1,2015,20150313,13:00,사직,KT,LT,KT,롯데,0,정상경기,시범경기
20150313LGSS0,1,2015,20150313,13:00,포항,LG,SS,LG,삼성,0,정상경기,시범경기
20150314HHNC0,1,2015,20150314,13:00,마산,HH,NC,한화,NC,0,정상경기,시범경기
20150314LTWO0,1,2015,20150314,13:00,목동,LT,WO,롯데,넥센,0,정상경기,시범경기
20150314OBKT0,1,2015,20150314,13:00,수원,OB,KT,두산,KT,0,정상경기,시범경기
20150314LGHT0,1,2015,20150314,13:00,광주,LG,HT,LG,KIA,0,정상경기,시범경기
20150314SKSS0,1,2015,20150314,13:00,포항,SK,SS,SK,삼성,0,정상경기,시범경기
20150315HHNC0,1,2015,20150315,13:00,마산,HH,NC,한화,NC,0,정상경기,시범경기
20150315LTWO0,1,2015,20150315,13:00,목동,LT,WO,롯데,넥센,0,정상경기,시범경기
