G_ID,SR_ID,SEASON_ID,G_DT,G_TM,S_NM,AWAY_ID,HOME_ID,AWAY_NM,HOME_NM,CANCEL_SC_ID,CANCEL_SC_NM,SR_NM
20191001NCOB0,0,2019,20191001,18:30,잠실,NC,OB,NC,두산,0,정상경기,정규시즌
20191001WOLT0,0,2019,20191001,18:30,사직,WO,LT,키움,롯데,0,정상경기,정규시즌
,,,20191002,,,,,,,,,
20191003NCLG0,4,2019,20191003,14:00,잠실,NC,LG,NC,LG,0,정상경기,준플레이오프
,,,20191004,,,,,,,,,
,,,20191005,,,,,,,,,
20191006LGWO0,3,2019,20191006,14:00,고척,LG,WO,LG,키움,0,정상경기,와일드카드
20191007LGWO0,3,2019,20191007,18:30,고척,LG,WO,LG,키움,0,정상경기,와일드카드
,,,20191008,,,,,,,,,
20191009WOLG0,3,2019,20191009,14:00,잠실,WO,LG,키움,LG,0,정상경기,와일드카드
20191010WOLG0,3,2019,20191010,18:30,잠실,WO,LG,키움,LG,0,정상경기,와일드카드
,,,20191011,,,,,,,,,
,,,20191012,,,,,,,,,
,,,20191013,,,,,,,,,
20191014WOSK0,5,2019,20191014,18:30,문학,WO,SK,키움,SK,0,정상경기,플레이오프
20191015WOSK0,5,2019,20191015,18:30,문학,WO,SK,키움,SK,0,정상경기,플레이오프
,,,20191016,,,,,,,,,
20191017SKWO0,5,2019,20191017,18:30,고척,SK,WO,SK,키움,0,정상경기,플레이오프
,,,20191018,,,,,,,,,
,,,20191019,,,,,,,,,
,,,20191020,,,,,,,,,
,,,20191021,,,,,,,,,
20191022WOOB0,7,2019,20191022,18:30,잠실,WO,OB,키움,두산,0,정상경기,올스타전
20191023WOOB0,7,2019,20191023,18:30,잠실,WO,OB,키움,두산,0,정상경기,올스타전
,,,20191024,,,,,,,,,
20191025OBWO0,7,2019,20191025,18:30,고척,OB,WO,두산,키움,0,정상경기,올스타전
20191026OBWO0,7,2019,20191026,14:00,고척,OB,WO,두산,키움,0,정상경기,올스타전
,,,20191027,,,,,,,,,
,,,20191028,,,,,,,,,
,,,20191029,,,,,,,,,
,,,20191030,,,,,,,,,
,,,20191031,,,,,,,,,
