G_ID,SR_ID,SEASON_ID,G_DT,G_TM,S_NM,AWAY_ID,HOME_ID,AWAY_NM,HOME_NM,CANCEL_SC_ID,CANCEL_SC_NM,SR_NM
20030701HDHH0,0,2003,20030701,18:30,한밭,HD,HH,현대,한화,0,정상경기,정규시즌
20030701SSOB0,0,2003,20030701,18:30,잠실,SS,OB,삼성,두산,0,정상경기,정규시즌
20030701LGSK0,0,2003,20030701,18:30,문학,LG,SK,LG,SK,0,정상경기,정규시즌
20030702HDHH0,0,2003,20030702,18:30,한밭,HD,HH,현대,한화,0,정상경기,정규시즌
20030702SSOB0,0,2003,20030702,18:30,잠실,SS,OB,삼성,두산,0,정상경기,정규시즌
20030702LGSK0,0,2003,20030702,18:30,문학,LG,SK,LG,SK,0,정상경기,정규시즌
20030702HTLT1,0,2003,20030702,15:00,마산,HT,LT,KIA,롯데,0,정상경기,정규시즌
20030702HTLT2,0,2003,20030702,17:50,마산,HT,LT,KIA,롯데,0,정상경기,정규시즌
20030703SSOB0,0,2003,20030703,18:30,잠실,SS,OB,삼성,두산,0,정상경기,정규시즌
20030703LGSK0,0,2003,20030703,18:30,문학,LG,SK,LG,SK,0,정상경기,정규시즌
20030704HDLG0,0,2003,20030704,18:20,잠실,HD,LG,현대,LG,0,정상경기,정규시즌
20030704LTSK0,0,2003,20030704,18:30,문학,LT,SK,롯데,SK,0,정상경기,정규시즌
20030705HHSS0,0,2003,20030705,18:30,시민,HH,SS,한화,삼성,0,정상경기,정규시즌
20030705HDLG0,0,2003,20030705,18:30,잠실,HD,LG,현대,LG,0,정상경기,정규시즌
20030705LTSK0,0,2003,20030705,18:30,문학,LT,SK,롯데,SK,0,정상경기,정규시즌
20030706HDLG0,0,2003,20030706,18:30,잠실,HD,LG,현대,LG,0,정상경기,정규시즌
20030706LTSK0,0,2003,20030706,18:30,문학,LT,SK,롯데,SK,0,정상경기,정규시즌
,,,20030707,,,,,,,,,
20030708LTHD0,0,2003,20030708,18:20,수원,LT,HD,롯데,현대,0,정상경기,정규시즌
20030708LGHH0,0,2003,20030708,18:30,한밭,LG,HH,LG,한화,0,정상경기,정규시즌
20030708SKOB0,0,2003,20030708,18:30,잠실,SK,OB,SK,두산,0,정상경기,정규시즌
,,,20030709,,,,,,,,,
20030710LTHD1,0,2003,20030710,14:50,수원,LT,HD,롯데,현대,0,정상경기,정규시즌
20030710SKOB1,0,2003,20030710,15:00,잠실,SK,OB,SK,두산,0,정상경기,정규시즌
20030710SKOB2,0,2003,20030710,18:00,잠실,SK,OB,SK,두산,0,정상경기,정규시즌
20030710LTHD2,0,2003,20030710,18:50,수원,LT,HD,롯데,현대,0,정상경기,정규시즌
20030711SSHH0,0,2003,20030711,18:30,한밭,SS,HH,삼성,한화,0,정상경기,정규시즌
20030711HTLG0,0,2003,20030711,18:30,잠실,HT,LG,KIA,LG,0,정상경기,정규시즌
20030711HDSK0,0,2003,20030711,18:30,문학,HD,SK,현대,SK,0,정상경기,정규시즌
20030712SSHH0,0,2003,20030712,14:10,한밭,SS,HH,삼성,한화,0,정상경기,정규시즌
