G_ID,SR_ID,SEASON_ID,G_DT,G_TM,S_NM,AWAY_ID,HOME_ID,AWAY_NM,HOME_NM,CANCEL_SC_ID,CANCEL_SC_NM,SR_NM
20251001NCLG0,0,2025,20251001,18:30,잠실,NC,LG,NC,LG,0,정상경기,정규시즌
20251001HHSK0,0,2025,20251001,18:30,문학,HH,SK,한화,SSG,0,정상경기,정규시즌
20251001KTHT0,0,2025,20251001,18:30,광주,KT,HT,KT,KIA,0,정상경기,정규시즌
20251002SKHT0,0,2025,20251002,18:30,광주,SK,HT,SSG,KIA,0,정상경기,정규시즌
20251003SKNC0,0,2025,20251003,17:00,창원,SK,NC,SSG,NC,1,우천취소,정규시즌
20251003HHKT0,0,2025,20251003,17:00,수원,HH,KT,한화,KT,0,정상경기,정규시즌
20251003SSHT0,0,2025,20251003,17:00,광주,SS,HT,삼성,KIA,1,우천취소,정규시즌
20251004SKNC0,0,2025,20251004,17:00,창원,SK,NC,SSG,NC,0,정상경기,정규시즌
20251004SSHT0,0,2025,20251004,17:00,광주,SS,HT,삼성,KIA,0,정상경기,정규시즌
,,,20251005,,,,,,,,,
20251006NCSS0,4,2025,20251006,14:00,대구,NC,SS,NC,삼성,0,정상경기,준플레이오프
20251007NCSS0,4,2025,20251007,14:00,대구,NC,SS,NC,삼성,0,정상경기,준플레이오프
,,,20251008,,,,,,,,,
20251009SSSK0,3,2025,20251009,14:00,문학,SS,SK,삼성,SSG,0,정상경기,와일드카드
20251010SSSK0,3,2025,20251010,18:30,문학,SS,SK,삼성,SSG,1,우천취소,와일드카드
20251011SSSK0,3,2025,20251011,14:00,문학,SS,SK,삼성,SSG,0,정상경기,와일드카드
,,,20251012,,,,,,,,,
20251013SKSS0,3,2025,20251013,18:30,대구,SK,SS,SSG,삼성,0,정상경기,와일드카드
20251014SKSS0,3,2025,20251014,18:30,대구,SK,SS,SSG,삼성,0,정상경기,와일드카드
,,,20251015,,,,,,,,,
,,,20251016,,,,,,,,,
20251017SSHH0,5,2025,20251017,18:30,대전,SS,HH,삼성,한화,1,우천취소,플레이오프
20251018SSHH0,5,2025,20251018,14:00,대전,SS,HH,삼성,한화,0,정상경기,플레이오프
20251019SSHH0,5,2025,20251019,14:00,대전,SS,HH,삼성,한화,0,정상경기,플레이오프
,,,20251020,,,,,,,,,
20251021HHSS0,5,2025,20251021,18:30,대구,HH,SS,한화,삼성,0,정상경기,플레이오프
20251022HHSS0,5,2025,20251022,18:30,대구,HH,SS,한화,삼성,0,정상경기,플레이오프
,,,20251023,,,,,,,,,
20251024SSHH0,5,2025,20251024,18:30,대전,SS,HH,삼성,한화,0,정상경기,플레이오프
,,,20251025,,,,,,,,,
20251026HHLG0,7,2025,20251026,14:00,잠실,HH,LG,한화,LG,0,정상경기,올스타전
20251027HHLG0,7,2025,20251027,18:30,잠실,HH,LG,한화,LG,0,정상경기,올스타전
,,,20251028,,,,,,,,,
20251029LGHH0,7,2025,20251029,18:30,대전,LG,HH,LG,한화,0,정상경기,올스타전
20251030LGHH0,7,2025,20251030,18:30,대전,LG,HH,LG,한화,0,정상경기,올스타전
20251031LGHH0,7,2025,20251031,18:30,대전,LG,HH,LG,한화,0,정상경기,올스타전
