G_ID,SR_ID,SEASON_ID,G_DT,G_TM,S_NM,AWAY_ID,HOME_ID,AWAY_NM,HOME_NM,CANCEL_SC_ID,CANCEL_SC_NM,SR_NM
,,,20090401,,,,,,,,,
,,,20090402,,,,,,,,,
,,,20090403,,,,,,,,,
20090404HHSK0,0,2009,20090404,13:35,문학,HH,SK,한화,SK,0,정상경기,정규시즌
20090404LGSS0,0,2009,20090404,14:00,시민,LG,SS,LG,삼성,0,정상경기,정규시즌
20090404HTOB0,0,2009,20090404,14:00,잠실,HT,OB,KIA,두산,0,정상경기,정규시즌
20090404WOLT0,0,2009,20090404,14:00,사직,WO,LT,,롯데,0,정상경기,정규시즌
20090405LGSS0,0,2009,20090405,14:00,시민,LG,SS,LG,삼성,0,정상경기,정규시즌
20090405HTOB0,0,2009,20090405,14:00,잠실,HT,OB,KIA,두산,0,정상경기,정규시즌
20090405HHSK0,0,2009,20090405,14:00,문학,HH,SK,한화,SK,0,정상경기,정규시즌
20090405WOLT0,0,2009,20090405,14:00,사직,WO,LT,,롯데,0,정상경기,정규시즌
,,,20090406,,,,,,,,,
20090407OBHH0,0,2009,20090407,18:30,한밭,OB,HH,두산,한화,0,정상경기,정규시즌
20090407SKHT0,0,2009,20090407,18:30,무등,SK,HT,SK,KIA,0,정상경기,정규시즌
20090407SSWO0,0,2009,20090407,18:30,목동,SS,WO,삼성,,0,정상경기,정규시즌
20090407LTLG0,0,2009,20090407,18:30,잠실,LT,LG,롯데,LG,0,정상경기,정규시즌
20090408OBHH0,0,2009,20090408,18:30,한밭,OB,HH,두산,한화,0,정상경기,정규시즌
20090408SKHT0,0,2009,20090408,18:30,무등,SK,HT,SK,KIA,0,정상경기,정규시즌
20090408SSWO0,0,2009,20090408,18:30,목동,SS,WO,삼성,,0,정상경기,정규시즌
20090408LTLG0,0,2009,20090408,18:30,잠실,LT,LG,롯데,LG,0,정상경기,정규시즌
20090409OBHH0,0,2009,20090409,18:30,한밭,OB,HH,두산,한화,0,정상경기,정규시즌
20090409SKHT0,0,2009,20090409,18:30,무등,SK,HT,SK,KIA,0,정상경기,정규시즌
20090409SSWO0,0,2009,20090409,18:30,목동,SS,WO,삼성,,0,정상경기,정규시즌
20090409LTLG0,0,2009,20090409,18:30,잠실,LT,LG,롯데,LG,0,정상경기,정규시즌
20090410LTHH0,0,2009,20090410,18:30,한밭,LT,HH,롯데,한화,0,정상경기,정규시즌
20090410SKWO0,0,2009,20090410,18:30,목동,SK,WO,SK,,0,정상경기,정규시즌
20090410SSHT0,0,2009,20090410,18:30,무등,SS,HT,삼성,KIA,0,정상경기,정규시즌
20090410OBLG0,0,2009,20090410,18:30,잠실,OB,LG,두산,LG,0,정상경기,정규시즌
20090411LTHH0,0,2009,20090411,17:00,한밭,LT,HH,롯데,한화,0,정상경기,정규시즌
20090411SKWO0,0,2009,20090411,17:00,목동,SK,WO,SK,,0,정상경기,정규시즌
20090411SSHT0,0,2009,20090411,17:00,무등,SS,HT,삼성,KIA,0,정상경기,정규시즌
20090411OBLG0,0,2009,20090411,17:00,잠실,OB,LG,두산,LG,0,정상경기,정규시즌
20090412LTHH0,0,2009,20090412,14:00,한밭,LT,HH,롯데,한화,0,정상경기,정규시즌
20090412SKWO0,0,2009,20090412,17:00,목동,SK,WO,SK,,0,정상경기,정규시즌
20090412SSHT0,0,2009,20090412,17:00,무등,SS,HT,삼성,KIA,0,정상경기,정규시즌
20090412OBLG0,0,2009,20090412,17:00,잠실,OB,LG,두산,LG,0,정상경기,정규시즌
,,,20090413,,,,,,,,,
20090414HHSS0,0,2009,20090414,18:30,시민,HH,SS,한화,삼성,0,정상경기,정규시즌
20090414WOOB0,0,2009,20090414,18:30,잠실,WO,OB,,두산,0,정상경기,정규시즌
20090414LGSK0,0,2009,20090414,18:30,문학,LG,SK,LG,SK,0,정상경기,정규시즌
20090414HTLT0,0,2009,20090414,18:30,사직,HT,LT,KIA,롯데,0,정상경기,정규시즌
20090415LGSK0,0,2009,20090415,18:30,문학,LG,SK,LG,SK,0,정상경기,정규시즌
20090415HTLT0,0,2009,20090415,18:30,사직,HT,LT,KIA,롯데,0,정상경기,정규시즌
20090416HHSS0,0,2009,20090416,18:30,시민,HH,SS,한화,삼성,0,정상경기,정규시즌
20090416WOOB0,0,2009,20090416,18:30,잠실,WO,OB,,두산,0,정상경기,정규시즌
20090416LGSK0,0,2009,20090416,18:30,문학,LG,SK,LG,SK,0,정상경기,정규시즌
20090416HTLT0,0,2009,20090416,18:30,사직,HT,LT,KIA,롯데,0,정상경기,정규시즌
20090417LTWO0,0,2009,20090417,18:30,목동,LT,WO,롯데,,0,정상경기,정규시즌
20090417OBSS0,0,2009,20090417,18:30,시민,OB,SS,두산,삼성,0,정상경기,정규시즌
20090417SKHH0,0,2009,20090417,18:30,한밭,SK,HH,SK,한화,0,정상경기,정규시즌
20090417HTLG0,0,2009,20090417,18:30,잠실,HT,LG,KIA,LG,0,정상경기,정규시즌
20090418LTWO0,0,2009,20090418,17:00,목동,LT,WO,롯데,,0,정상경기,정규시즌
20090418OBSS0,0,2009,20090418,17:00,시민,OB,SS,두산,삼성,0,정상경기,정규시즌
20090418SKHH0,0,2009,20090418,17:00,한밭,SK,HH,SK,한화,0,정상경기,정규시즌
20090418HTLG0,0,2009,20090418,17:00,잠실,HT,LG,KIA,LG,0,정상경기,정규시즌
20090419OBSS0,0,2009,20090419,14:00,시민,OB,SS,두산,삼성,0,정상경기,정규시즌
20090419LTWO0,0,2009,20090419,17:00,목동,LT,WO,롯데,,0,정상경기,정규시즌
20090419SKHH0,0,2009,20090419,17:00,한밭,SK,HH,SK,한화,0,정상경기,정규시즌
20090419HTLG0,0,2009,20090419,17:00,잠실,HT,LG,KIA,LG,0,정상경기,정규시즌
,,,20090420,,,,,,,,,
20090421HHWO0,0,2009,20090421,18:30,목동,HH,WO,한화,,0,정상경기,정규시즌
20090421OBHT0,0,2009,20090421,18:30,무등,OB,HT,두산,KIA,0,정상경기,정규시즌
20090421SSLG0,0,2009,20090421,18:30,잠실,SS,LG,삼성,LG,0,정상경기,정규시즌
20090421LTSK0,0,2009,20090421,18:30,문학,LT,SK,롯데,SK,0,정상경기,정규시즌
20090422HHWO0,0,2009,20090422,18:30,목동,HH,WO,한화,,0,정상경기,정규시즌
20090422OBHT0,0,2009,20090422,18:30,무등,OB,HT,두산,KIA,0,정상경기,정규시즌
20090422SSLG0,0,2009,20090422,18:30,잠실,SS,LG,삼성,LG,0,정상경기,정규시즌
20090422LTSK0,0,2009,20090422,18:30,문학,LT,SK,롯데,SK,0,정상경기,정규시즌
20090423HHWO0,0,2009,20090423,18:30,목동,HH,WO,한화,,0,정상경기,정규시즌
20090423OBHT0,0,2009,20090423,18:30,무등,OB,HT,두산,KIA,0,정상경기,정규시즌
20090423SSLG0,0,2009,20090423,18:30,잠실,SS,LG,삼성,LG,0,정상경기,정규시즌
20090423LTSK0,0,2009,20090423,18:30,문학,LT,SK,롯데,SK,0,정상경기,정규시즌
20090424HTSS0,0,2009,20090424,18:30,시민,HT,SS,KIA,삼성,0,정상경기,정규시즌
20090424LGLT0,0,2009,20090424,18:30,사직,LG,LT,LG,롯데,0,정상경기,정규시즌
20090425HTSS0,0,2009,20090425,17:00,시민,HT,SS,KIA,삼성,0,정상경기,정규시즌
20090425WOSK0,0,2009,20090425,17:00,문학,WO,SK,,SK,0,정상경기,정규시즌
20090425LGLT0,0,2009,20090425,17:00,사직,LG,LT,LG,롯데,0,정상경기,정규시즌
20090426LGLT0,0,2009,20090426,14:00,사직,LG,LT,LG,롯데,0,정상경기,정규시즌
20090426HTSS0,0,2009,20090426,17:00,시민,HT,SS,KIA,삼성,0,정상경기,정규시즌
20090426HHOB0,0,2009,20090426,17:00,잠실,HH,OB,한화,두산,0,정상경기,정규시즌
