G_ID,SR_ID,SEASON_ID,G_DT,G_TM,S_NM,AWAY_ID,HOME_ID,AWAY_NM,HOME_NM,CANCEL_SC_ID,CANCEL_SC_NM,SR_NM
20240801SSLG0,0,2024,20240801,18:30,잠실,SS,LG,삼성,LG,0,정상경기,정규시즌
20240801LTSK0,0,2024,20240801,18:30,문학,LT,SK,롯데,SSG,0,정상경기,정규시즌
20240801HHKT0,0,2024,20240801,18:30,수원,HH,KT,한화,KT,0,정상경기,정규시즌
20240801OBHT0,0,2024,20240801,18:30,광주,OB,HT,두산,KIA,0,정상경기,정규시즌
20240801NCWO0,0,2024,20240801,18:30,고척,NC,WO,NC,키움,0,정상경기,정규시즌
20240802HTHH0,0,2024,20240802,18:30,한밭,HT,HH,KIA,한화,0,정상경기,정규시즌
20240802WOOB0,0,2024,20240802,18:30,잠실,WO,OB,키움,두산,0,정상경기,정규시즌
20240802SKSS0,0,2024,20240802,18:30,대구,SK,SS,SSG,삼성,0,정상경기,정규시즌
20240802KTNC0,0,2024,20240802,18:30,창원,KT,NC,KT,NC,0,정상경기,정규시즌
20240802LGLT0,0,2024,20240802,18:30,울산,LG,LT,LG,롯데,9,폭염취소,정규시즌
20240803HTHH0,0,2024,20240803,18:00,한밭,HT,HH,KIA,한화,0,정상경기,정규시즌
20240803WOOB0,0,2024,20240803,18:00,잠실,WO,OB,키움,두산,0,정상경기,정규시즌
20240803SKSS0,0,2024,20240803,18:00,대구,SK,SS,SSG,삼성,0,정상경기,정규시즌
20240803KTNC0,0,2024,20240803,18:00,창원,KT,NC,KT,NC,1,우천취소,정규시즌
20240803LGLT0,0,2024,20240803,18:00,울산,LG,LT,LG,롯데,0,정상경기,정규시즌
20240804HTHH0,0,2024,20240804,17:00,한밭,HT,HH,KIA,한화,1,우천취소,정규시즌
20240804WOOB0,0,2024,20240804,17:00,잠실,WO,OB,키움,두산,9,폭염취소,정규시즌
20240804SKSS0,0,2024,20240804,17:00,대구,SK,SS,SSG,삼성,0,정상경기,정규시즌
20240804KTNC0,0,2024,20240804,17:00,창원,KT,NC,KT,NC,0,정상경기,정규시즌
20240804LGLT0,0,2024,20240804,17:00,울산,LG,LT,LG,롯데,9,폭염취소,정규시즌
,,,20240805,,,,,,,,,
20240806LGOB0,0,2024,20240806,18:30,잠실,LG,OB,LG,두산,0,정상경기,정규시즌
20240806NCLT0,0,2024,20240806,18:30,사직,NC,LT,NC,롯데,0,정상경기,정규시즌
20240806HHSS0,0,2024,20240806,18:30,대구,HH,SS,한화,삼성,0,정상경기,정규시즌
20240806KTHT0,0,2024,20240806,18:30,광주,KT,HT,KT,KIA,0,정상경기,정규시즌
20240806SKWO0,0,2024,20240806,18:30,고척,SK,WO,SSG,키움,0,정상경기,정규시즌
20240807LGOB0,0,2024,20240807,18:30,잠실,LG,OB,LG,두산,0,정상경기,정규시즌
20240807NCLT0,0,2024,20240807,18:30,사직,NC,LT,NC,롯데,0,정상경기,정규시즌
