G_ID,SR_ID,SEASON_ID,G_DT,G_TM,S_NM,AWAY_ID,HOME_ID,AWAY_NM,HOME_NM,CANCEL_SC_ID,CANCEL_SC_NM,SR_NM
,,,20220301,,,,,,,,,
,,,20220302,,,,,,,,,
,,,20220303,,,,,,,,,
,,,20220304,,,,,,,,,
,,,20220305,,,,,,,,,
,,,20220306,,,,,,,,,
,,,20220307,,,,,,,,,
,,,20220308,,,,,,,,,
,,,20220309,,,,,,,,,
,,,20220310,,,,,,,,,
,,,20220311,,,,,,,,,
20220312SKLT0,1,2022,20220312,13:00,사직,SK,LT,SSG,롯데,0,정상경기,시범경기
20220312HHSS0,1,2022,20220312,13:00,대구,HH,SS,한화,삼성,0,정상경기,시범경기
20220312HTNC0,1,2022,20220312,13:00,창원,HT,NC,KIA,NC,0,정상경기,시범경기
20220312LGKT0,1,2022,20220312,13:00,수원,LG,KT,LG,KT,0,정상경기,시범경기
20220312OBWO0,1,2022,20220312,13:00,고척,OB,WO,두산,키움,0,정상경기,시범경기
20220313SKLT0,1,2022,20220313,13:00,사직,SK,LT,SSG,롯데,1,우천취소,시범경기
20220313HHSS0,1,2022,20220313,13:00,대구,HH,SS,한화,삼성,1,우천취소,시범경기
20220313HTNC0,1,2022,20220313,13:00,창원,HT,NC,KIA,NC,1,우천취소,시범경기
20220313LGKT0,1,2022,20220313,13:00,수원,LG,KT,LG,KT,6,그라운드사정,시범경기
20220313OBWO0,1,2022,20220313,13:00,고척,OB,WO,두산,키움,0,정상경기,시범경기
20220314HHLT0,1,2022,20220314,13:00,사직,HH,LT,한화,롯데,0,정상경기,시범경기
20220314HTSS0,1,2022,20220314,13:00,대구,HT,SS,KIA,삼성,0,정상경기,시범경기
20220314SKNC0,1,2022,20220314,13:00,창원,SK,NC,SSG,NC,0,정상경기,시범경기
20220314OBKT0,1,2022,20220314,13:00,수원,OB,KT,두산,KT,1,우천취소,시범경기
20220314LGWO0,1,2022,20220314,13:00,고척,LG,WO,LG,키움,0,정상경기,시범경기
20220315HHLT0,1,2022,20220315,13:00,사직,HH,LT,한화,롯데,0,정상경기,시범경기
20220315HTSS0,1,2022,20220315,13:00,대구,HT,SS,KIA,삼성,0,정상경기,시범경기
20220315SKNC0,1,2022,20220315,13:00,창원,SK,NC,SSG,NC,0,정상경기,시범경기
20220315OBKT0,1,2022,20220315,13:00,수원,OB,KT,두산,KT,0,정상경기,시범경기
20220315LGWO0,1,2022,20220315,13:00,고척,LG,WO,LG,키움,0,정상경기,시범경기
,,,20220316,,,,,,,,,
20220317OBLT0,1,2022,20220317,13:00,사직,OB,LT,두산,롯데,0,정상경기,시범경기
20220317LGSS0,1,2022,20220317,13:00,대구,LG,SS,LG,삼성,1,우천취소,시범경기
20220317HHNC0,1,2022,20220317,13:00,창원,HH,NC,한화,NC,0,정상경기,시범경기
20220317HTKT0,1,2022,20220317,13:00,수원,HT,KT,KIA,KT,0,정상경기,시범경기
20220317SKWO0,1,2022,20220317,13:00,고척,SK,WO,SSG,키움,0,정상경기,시범경기
20220318OBLT0,1,2022,20220318,13:00,사직,OB,LT,두산,롯데,6,그라운드사정,시범경기
20220318LGSS0,1,2022,20220318,13:00,대구,LG,SS,LG,삼성,0,정상경기,시범경기
20220318HHNC0,1,2022,20220318,13:00,창원,HH,NC,한화,NC,0,정상경기,시범경기
20220318HTKT0,1,2022,20220318,13:00,수원,HT,KT,KIA,KT,0,정상경기,시범경기
20220318SKWO0,1,2022,20220318,13:00,고척,SK,WO,SSG,키움,0,정상경기,시범경기
20220319HTLT0,1,2022,20220319,13:00,사직,HT,LT,KIA,롯데,1,우천취소,시범경기
20220319OBSS0,1,2022,20220319,13:00,대구,OB,SS,두산,삼성,1,우천취소,시범경기
20220319LGNC0,1,2022,20220319,13:00,창원,LG,NC,LG,NC,6,그라운드사정,시범경기
20220319SKKT0,1,2022,20220319,13:00,수원,SK,KT,SSG,KT,1,우천취소,시범경기
20220319HHWO0,1,2022,20220319,13:00,고척,HH,WO,한화,키움,0,정상경기,시범경기
20220320HTLT0,1,2022,20220320,13:00,사직,HT,LT,KIA,롯데,0,정상경기,시범경기
20220320OBSS0,1,2022,20220320,13:00,대구,OB,SS,두산,삼성,0,정상경기,시범경기
20220320LGNC0,1,2022,20220320,13:00,창원,LG,NC,LG,NC,0,정상경기,시범경기
20220320SKKT0,1,2022,20220320,13:00,수원,SK,KT,SSG,KT,0,정상경기,시범경기
20220320HHWO0,1,2022,20220320,13:00,고척,HH,WO,한화,키움,0,정상경기,시범경기
20220321NCLT0,1,2022,20220321,13:00,사직,NC,LT,NC,롯데,0,정상경기,시범경기
20220321WOSS0,1,2022,20220321,13:00,대구,WO,SS,키움,삼성,0,정상경기,시범경기
20220321HHKT0,1,2022,20220321,13:00,수원,HH,KT,한화,KT,0,정상경기,시범경기
