G_ID,SR_ID,SEASON_ID,G_DT,G_TM,S_NM,AWAY_ID,HOME_ID,AWAY_NM,HOME_NM,CANCEL_SC_ID,CANCEL_SC_NM,SR_NM
,,,20230301,,,,,,,,,
,,,20230302,,,,,,,,,
,,,20230303,,,,,,,,,
,,,20230304,,,,,,,,,
,,,20230305,,,,,,,,,
,,,20230306,,,,,,,,,
,,,20230307,,,,,,,,,
,,,20230308,,,,,,,,,
,,,20230309,,,,,,,,,
,,,20230310,,,,,,,,,
,,,20230311,,,,,,,,,
,,,20230312,,,,,,,,,
20230313HTHH0,1,2023,20230313,14:00,한밭,HT,HH,KIA,한화,0,정상경기,시범경기
20230313OBLT0,1,2023,20230313,14:00,사직,OB,LT,두산,롯데,0,정상경기,시범경기
20230313SKSS0,1,2023,20230313,14:00,대구,SK,SS,SSG,삼성,0,정상경기,시범경기
20230313LGNC0,1,2023,20230313,14:00,창원,LG,NC,LG,NC,0,정상경기,시범경기
20230313KTWO0,1,2023,20230313,14:00,고척,KT,WO,KT,키움,0,정상경기,시범경기
20230314HTHH0,1,2023,20230314,14:00,한밭,HT,HH,KIA,한화,0,정상경기,시범경기
20230314OBLT0,1,2023,20230314,14:00,사직,OB,LT,두산,롯데,0,정상경기,시범경기
20230314SKSS0,1,2023,20230314,14:00,대구,SK,SS,SSG,삼성,0,정상경기,시범경기
20230314LGNC0,1,2023,20230314,14:00,창원,LG,NC,LG,NC,0,정상경기,시범경기
20230314KTWO0,1,2023,20230314,14:00,고척,KT,WO,KT,키움,0,정상경기,시범경기
20230315KTHH0,1,2023,20230315,13:00,한밭,KT,HH,KT,한화,0,정상경기,시범경기
20230315SKLT0,1,2023,20230315,13:00,사직,SK,LT,SSG,롯데,0,정상경기,시범경기
20230315LGSS0,1,2023,20230315,13:00,대구,LG,SS,LG,삼성,0,정상경기,시범경기
20230315OBNC0,1,2023,20230315,13:00,창원,OB,NC,두산,NC,0,정상경기,시범경기
20230315HTWO0,1,2023,20230315,13:00,고척,HT,WO,KIA,키움,0,정상경기,시범경기
20230316KTHH0,1,2023,20230316,14:00,한밭,KT,HH,KT,한화,0,정상경기,시범경기
20230316SKLT0,1,2023,20230316,14:00,사직,SK,LT,SSG,롯데,0,정상경기,시범경기
20230316LGSS0,1,2023,20230316,14:00,대구,LG,SS,LG,삼성,0,정상경기,시범경기
20230316OBNC0,1,2023,20230316,14:00,창원,OB,NC,두산,NC,0,정상경기,시범경기
20230316HTWO0,1,2023,20230316,14:00,고척,HT,WO,KIA,키움,0,정상경기,시범경기
,,,20230317,,,,,,,,,
20230318WOHH0,1,2023,20230318,13:00,한밭,WO,HH,키움,한화,0,정상경기,시범경기
20230318LGLT0,1,2023,20230318,13:00,사직,LG,LT,LG,롯데,0,정상경기,시범경기
20230318KTSS0,1,2023,20230318,13:00,대구,KT,SS,KT,삼성,0,정상경기,시범경기
20230318SKNC0,1,2023,20230318,13:00,창원,SK,NC,SSG,NC,0,정상경기,시범경기
20230318OBHT0,1,2023,20230318,13:00,광주,OB,HT,두산,KIA,0,정상경기,시범경기
20230319WOHH0,1,2023,20230319,13:00,한밭,WO,HH,키움,한화,0,정상경기,시범경기
20230319LGLT0,1,2023,20230319,13:00,사직,LG,LT,LG,롯데,0,정상경기,시범경기
20230319KTSS0,1,2023,20230319,13:00,대구,KT,SS,KT,삼성,0,정상경기,시범경기
20230319SKNC0,1,2023,20230319,13:00,창원,SK,NC,SSG,NC,0,정상경기,시범경기
20230319OBHT0,1,2023,20230319,13:00,광주,OB,HT,두산,KIA,0,정상경기,시범경기
20230320SKHH0,1,2023,20230320,13:00,한밭,SK,HH,SSG,한화,0,정상경기,시범경기
20230320LTSS0,1,2023,20230320,13:00,대구,LT,SS,롯데,삼성,0,정상경기,시범경기
20230320WONC0,1,2023,20230320,13:00,창원,WO,NC,키움,NC,0,정상경기,시범경기
20230320OBKT0,1,2023,20230320,13:00,수원,OB,KT,두산,KT,0,정상경기,시범경기
20230320LGHT0,1,2023,20230320,13:00,광주,LG,HT,LG,KIA,0,정상경기,시범경기
20230321SKHH0,1,2023,20230321,13:00,한밭,SK,HH,SSG,한화,0,정상경기,시범경기
20230321LTSS0,1,2023,20230321,13:00,대구,LT,SS,롯데,삼성,0,정상경기,시범경기
20230321WONC0,1,2023,20230321,13:00,창원,WO,NC,키움,NC,0,정상경기,시범경기
20230321OBKT0,1,2023,20230321,13:00,수원,OB,KT,두산,KT,0,정상경기,시범경기
20230321LGHT0,1,2023,20230321,13:00,광주,LG,HT,LG,KIA,0,정상경기,시범경기
,,,20230322,,,,,,,,,
20230323OBHH0,1,2023,20230323,13:00,한밭,OB,HH,두산,한화,1,우천취소,시범경기
20230323LTNC0,1,2023,20230323,13:00,창원,LT,NC,롯데,NC,1,우천취소,시범경기
20230323LGKT0,1,2023,20230323,13:00,수원,LG,KT,LG,KT,0,정상경기,시범경기
20230323SKHT0,1,2023,20230323,13:00,광주,SK,HT,SSG,KIA,1,우천취소,시범경기
20230323SSWO0,1,2023,20230323,13:00,고척,SS,WO,삼성,키움,0,정상경기,시범경기
20230324OBHH0,1,2023,20230324,13:00,한밭,OB,HH,두산,한화,0,정상경기,시범경기
20230324LTNC0,1,2023,20230324,13:00,창원,LT,NC,롯데,NC,0,정상경기,시범경기
20230324LGKT0,1,2023,20230324,13:00,수원,LG,KT,LG,KT,0,정상경기,시범경기
20230324SKHT0,1,2023,20230324,13:00,광주,SK,HT,SSG,KIA,0,정상경기,시범경기
20230324SSWO0,1,2023,20230324,13:00,고척,SS,WO,삼성,키움,0,정상경기,시범경기
20230325SSOB0,1,2023,20230325,13:00,잠실,SS,OB,삼성,두산,0,정상경기,시범경기
20230325SKKT0,1,2023,20230325,13:00,수원,SK,KT,SSG,KT,0,정상경기,시범경기
20230325LGWO0,1,2023,20230325,13:00,고척,LG,WO,LG,키움,0,정상경기,시범경기
20230325HHLT0,1,2023,20230325,18:00,사직,HH,LT,한화,롯데,0,정상경기,시범경기
20230325NCHT0,1,2023,20230325,18:00,광주,NC,HT,NC,KIA,0,정상경기,시범경기
20230326SSOB0,1,2023,20230326,13:00,잠실,SS,OB,삼성,두산,0,정상경기,시범경기
20230326HHLT0,1,2023,20230326,13:00,사직,HH,LT,한화,롯데,0,정상경기,시범경기
20230326SKKT0,1,2023,20230326,13:00,수원,SK,KT,SSG,KT,0,정상경기,시범경기
20230326NCHT0,1,2023,20230326,13:00,광주,NC,HT,NC,KIA,0,정상경기,시범경기
20230326LGWO0,1,2023,20230326,13:00,고척,LG,WO,LG,키움,0,정상경기,시범경기
20230327SKLG0,1,2023,20230327,13:00,잠실,SK,LG,SSG,LG,0,정상경기,시범경기
20230327NCKT0,1,2023,20230327,13:00,수원,NC,KT,NC,KT,0,정상경기,시범경기
