G_ID,SR_ID,SEASON_ID,G_DT,G_TM,S_NM,AWAY_ID,HOME_ID,AWAY_NM,HOME_NM,CANCEL_SC_ID,CANCEL_SC_NM,SR_NM
20050501HDHH0,0,2005,20050501,14:00,한밭,HD,HH,현대,한화,0,정상경기,정규시즌
20050501HTSS0,0,2005,20050501,14:00,시민,HT,SS,KIA,삼성,0,정상경기,정규시즌
20050501LTLG0,0,2005,20050501,14:00,잠실,LT,LG,롯데,LG,0,정상경기,정규시즌
20050501OBSK0,0,2005,20050501,14:00,문학,OB,SK,두산,SK,0,정상경기,정규시즌
,,,20050502,,,,,,,,,
20050503SKHH0,0,2005,20050503,18:30,한밭,SK,HH,SK,한화,0,정상경기,정규시즌
20050503SSLT0,0,2005,20050503,18:30,마산,SS,LT,삼성,롯데,0,정상경기,정규시즌
20050503LGOB0,0,2005,20050503,18:30,잠실,LG,OB,LG,두산,0,정상경기,정규시즌
20050503HTHD0,0,2005,20050503,18:30,수원,HT,HD,KIA,현대,0,정상경기,정규시즌
20050504SKHH0,0,2005,20050504,18:30,한밭,SK,HH,SK,한화,0,정상경기,정규시즌
20050504SSLT0,0,2005,20050504,18:30,마산,SS,LT,삼성,롯데,0,정상경기,정규시즌
20050504LGOB0,0,2005,20050504,18:30,잠실,LG,OB,LG,두산,0,정상경기,정규시즌
20050504HTHD0,0,2005,20050504,18:30,수원,HT,HD,KIA,현대,0,정상경기,정규시즌
20050505SKHH0,0,2005,20050505,14:00,한밭,SK,HH,SK,한화,0,정상경기,정규시즌
20050505SSLT0,0,2005,20050505,14:00,마산,SS,LT,삼성,롯데,0,정상경기,정규시즌
20050505LGOB0,0,2005,20050505,14:00,잠실,LG,OB,LG,두산,0,정상경기,정규시즌
20050505HTHD0,0,2005,20050505,14:00,수원,HT,HD,KIA,현대,0,정상경기,정규시즌
,,,20050506,,,,,,,,,
20050507HHSS0,0,2005,20050507,18:30,시민,HH,SS,한화,삼성,0,정상경기,정규시즌
20050507LTHT0,0,2005,20050507,18:30,무등,LT,HT,롯데,KIA,0,정상경기,정규시즌
20050507HDOB0,0,2005,20050507,18:30,잠실,HD,OB,현대,두산,0,정상경기,정규시즌
