date,gameid
20120725,LTHH0
20120726,WOHT0
20120726,LGOB0
20120726,SKSS0
20120726,LTHH0
20120727,HHHT0
20120727,SSWO0
20120727,LTOB0
20120727,LGSK0
20120728,HHHT0
20120728,SSWO0
20120728,LTOB0
20120728,LGSK0
20120729,HHHT0
20120729,SSWO0
20120729,LTOB0
20120729,LGSK0
20120731,HHLG0
20120731,WOSK0
20120731,HTLT0
20120731,OBSS0
20120801,HHLG0
20120801,WOSK0
20120801,HTLT0
20120801,OBSS0
20120802,HHLG0
20120802,WOSK0
20120802,HTLT0
20120802,OBSS0
20120803,LGWO0
20120803,HTOB0
20120803,SSLT0
20120803,SKHH0
20120804,LGWO0
20120804,HTOB0
20120804,SSLT0
20120804,SKHH0
20120805,LGWO0
20120805,HTOB0
20120805,SSLT0
20120805,SKHH0
20120807,WOHT0
20120807,LTLG0
20120807,SSSK0
20120807,OBHH0
20120808,WOHT0
20120808,LTLG0
20120808,SSSK0
20120808,OBHH0
20120809,WOHT0
20120809,LTLG0
20120809,SSSK0
20120809,OBHH0
20120810,HHWO0
20120810,SKOB0
20120810,LGSS0
20120811,HHWO0
20120811,LTHT0
20120811,SKOB0
20120811,LGSS0
20120812,LTHT0
20120812,LGSS0
20120814,SKLT0
20120814,HHSS0
20120815,SKLT0
20120815,HHSS0
20120816,OBWO0
20120816,HTLG0
20120816,SKLT0
20120817,SSOB0
20120817,HTSK0
20120817,WOLT0
20120817,LGHH0
20120818,SSOB0
20120818,HTSK0
20120818,WOLT0
20120818,LGHH0
20120819,SSOB0
20120819,HTSK0
20120819,WOLT0
20120819,LGHH0
20120821,LGHT0
20120821,LTSS0
20120822,LGHT0
20120822,WOOB0
20120822,HHSK0
20120823,LGHT0
20120823,WOOB0
20120823,HHSK0
20120824,SKWO0
20120824,SSLG0
20120824,OBLT0
20120825,SKWO0
20120825,SSLG0
20120825,OBLT0
20120825,HTHH0
20120826,SKWO0
20120826,SSLG0
20120826,OBLT0
20120826,HTHH0
20120829,SSHT0
20120829,LGOB0
20120829,LTSK0
20120829,WOHH0
20120831,HHHT0
20120831,LGLT0
20120831,WOSS0
20120901,HHHT0
20120901,OBSK0
20120901,LGLT0
20120901,WOSS0
20120902,OBSK0
20120902,LGLT0
20120902,WOSS0
20120902,HTHH0
20120904,HTLT0
20120904,LGSS0
20120905,SKHT0
20120905,LGSS0
20120905,OBHH0
20120906,SKHT0
20120906,WOOB0
20120906,LTHH0
20120907,SKHT0
20120907,WOOB0
20120907,HHLT0
20120908,HTLG0
20120908,WOSK0
20120908,HHLT0
20120908,OBSS0
20120909,HTLG0
20120909,WOSK0
20120910,HTLG0
20120910,HHLT0
20120910,WOSS0
20120911,OBLT0
20120911,SSHH0
20120912,LTHT0
20120912,OBWO0
20120912,SKLG0
20120912,SSHH0
20120913,OBWO0
20120914,LTHT1
20120914,LTHT2
20120914,HHWO0
20120915,HHWO0
20120915,LGOB0
20120915,HTSK0
20120915,LTSS0
20120916,HHWO0
20120916,LGOB0
20120916,HTSK0
20120918,OBHT0
20120918,WOLG0
20120918,SKLT0
20120918,HHSS0
20120919,OBHT0
20120919,WOLG0
20120919,SKLT0
20120919,SSHH0
20120920,LTWO0
20120920,SSHT0
20120920,HHLG0
20120921,SSHT0
20120921,LTLG0
20120921,WOHH0
20120922,SKOB0
20120922,HTWO0
20120922,LTSS0
20120923,HTWO0
20120923,SKOB0
20120923,LGLT0
20120924,HHOB0
20120924,LGSK0
20120924,LTSS0
20120925,HHOB0
20120925,LGSK0
20120925,HTSS0
20120926,SKWO0
20120926,HHOB0
20120926,HTSS0
20120927,WOLG0
20120927,HHSK0
20120927,SSLT0
20120928,SKHT0
20120928,WOLG0
20120928,LTSS0
20120928,OBHH0
20120929,SKHT0
20120929,OBLG0
20120929,WOHH0
20120930,LTHT0
20120930,SSWO0
20120930,OBLG0
20121001,LTHT0
20121001,OBWO0
20121001,SSLG0
