G_ID,SR_ID,SEASON_ID,G_DT,G_TM,S_NM,AWAY_ID,HOME_ID,AWAY_NM,HOME_NM,CANCEL_SC_ID,CANCEL_SC_NM,SR_NM
20061001SKOB0,0,2006,20061001,14:00,잠실,SK,OB,SK,두산,0,정상경기,정규시즌
20061001SSHD0,0,2006,20061001,14:00,수원,SS,HD,삼성,현대,0,정상경기,정규시즌
20061001LTHT1,0,2006,20061001,14:00,무등,LT,HT,롯데,KIA,0,정상경기,정규시즌
20061001LTHT2,0,2006,20061001,14:00,무등,LT,HT,롯데,KIA,0,정상경기,정규시즌
20061002LTHT0,0,2006,20061002,18:30,무등,LT,HT,롯데,KIA,0,정상경기,정규시즌
20061002HHOB0,0,2006,20061002,18:30,잠실,HH,OB,한화,두산,0,정상경기,정규시즌
20061002LGSK0,0,2006,20061002,18:30,문학,LG,SK,LG,SK,0,정상경기,정규시즌
20061002SSHD0,0,2006,20061002,18:30,수원,SS,HD,삼성,현대,0,정상경기,정규시즌
,,,20061003,,,,,,,,,
20061004LTOB0,0,2006,20061004,18:30,잠실,LT,OB,롯데,두산,0,정상경기,정규시즌
20061005LTHH0,0,2006,20061005,14:00,한밭,LT,HH,롯데,한화,0,정상경기,정규시즌
,,,20061006,,,,,,,,,
,,,20061007,,,,,,,,,
,,,20061008,,,,,,,,,
,,,20061009,,,,,,,,,
,,,20061010,,,,,,,,,
,,,20061011,,,,,,,,,
,,,20061012,,,,,,,,,
,,,20061013,,,,,,,,,
,,,20061014,,,,,,,,,
,,,20061015,,,,,,,,,
,,,20061016,,,,,,,,,
,,,20061017,,,,,,,,,
,,,20061018,,,,,,,,,
,,,20061019,,,,,,,,,
,,,20061020,,,,,,,,,
,,,20061021,,,,,,,,,
,,,20061022,,,,,,,,,
,,,20061023,,,,,,,,,
,,,20061024,,,,,,,,,
,,,20061025,,,,,,,,,
,,,20061026,,,,,,,,,
,,,20061027,,,,,,,,,
,,,20061028,,,,,,,,,
,,,20061029,,,,,,,,,
,,,20061030,,,,,,,,,
,,,20061031,,,,,,,,,
