date,gameid
20110721,LGWO0
20110721,LTOB0
20110721,SKSS0
20110721,HTHH0
20110726,SSHT0
20110726,SKLT0
20110727,SSHT0
20110728,SSHT0
20110728,SKLT0
20110729,WOHT0
20110729,SSLG0
20110729,OBLT0
20110729,SKHH0
20110730,WOHT0
20110730,SSLG0
20110730,OBLT0
20110730,SKHH0
20110731,WOHT0
20110731,OBLT0
20110731,SKHH0
20110802,HTOB0
20110802,LGSK0
20110802,WOSS0
20110802,LTHH0
20110803,HTOB0
20110803,LGSK0
20110803,WOSS0
20110804,HTOB0
20110804,LGSK0
20110804,WOSS0
20110804,LTHH0
20110805,OBWO0
20110805,HHLG0
20110805,HTSK0
20110805,SSLT0
20110806,OBWO0
20110806,HHLG0
20110806,HTSK0
20110806,SSLT0
20110807,OBWO0
20110807,HHLG0
20110807,HTSK0
20110807,SSLT0
20110809,LGHT0
20110809,SKOB0
20110809,WOLT0
20110810,LGHT0
20110810,SKOB0
20110810,WOLT0
20110810,HHSS0
20110811,LGHT0
20110811,SKOB0
20110811,WOLT0
20110811,HHSS0
20110812,HTSS0
20110813,LTLG0
20110813,WOSK0
20110813,HTSS0
20110813,OBHH0
20110814,LTLG0
20110814,WOSK0
20110814,HTSS0
20110814,OBHH0
20110816,LTHT0
20110817,LTHT0
20110817,SSSK0
20110818,HHWO0
20110818,LTHT0
20110818,LGOB0
20110818,SSSK0
20110819,HTWO0
20110819,HHOB0
20110820,HTWO0
20110820,HHOB0
20110820,SKLT0
20110820,LGSS0
20110821,HTWO0
20110821,HHOB0
20110821,SKLT0
20110821,LGSS0
20110823,WOLG0
20110823,OBSK0
20110823,HTLT0
20110823,SSHH0
20110824,WOLG0
20110824,OBSK0
20110824,HTLT0
20110824,SSHH0
20110825,WOLG0
20110825,OBSK0
20110825,HTLT0
20110825,SSHH0
20110826,LTWO0
20110826,SKHT0
20110826,SSOB0
20110826,LGHH0
20110827,LTWO0
20110827,SKHT0
20110827,SSOB0
20110827,LGHH0
20110828,LTWO0
20110828,SKHT0
20110828,SSOB0
20110828,LGHH0
20110830,WOHT0
20110830,HHOB0
20110830,LGSK0
20110830,SSLT0
20110831,WOOB0
20110831,LGSK0
20110831,SSLT0
20110901,WOOB0
20110901,LGSK0
20110901,HTLT0
20110902,LTLG0
20110902,WOHH0
20110903,LTLG0
20110903,OBSK0
20110903,WOHH0
20110904,LTLG0
20110904,OBSK0
20110904,WOHH0
20110906,SKWO0
20110906,OBLG0
20110906,HHSS0
20110907,SKWO0
20110907,OBLG0
20110907,HHSS0
20110908,HHWO0
20110908,SSHT0
20110908,OBLG0
20110908,LTSK0
20110909,HHWO0
20110909,HTOB0
20110909,LTSK0
20110910,HTOB0
20110910,HHSK0
20110910,WOLT0
20110910,LGSS0
20110911,HTOB0
20110911,HHSK0
20110911,WOLT0
20110911,LGSS0
20110913,OBLG0
20110913,WOSK0
20110913,LTSS0
20110913,HTHH0
20110914,OBLG0
20110914,WOSK0
20110914,LTSS0
20110914,HTHH0
20110915,OBWO0
20110915,SKLG0
20110915,LTHH0
20110916,OBWO0
20110916,SKLG0
20110916,LTHH0
20110917,SSWO0
20110917,LTOB0
20110917,HHSK0
20110918,LGHT0
20110918,SSWO0
20110918,LTOB0
20110918,HHSK0
20110920,WOLG0
20110920,SKLT0
20110920,OBSS0
20110921,WOLG0
20110921,SKLT0
20110921,OBSS0
20110922,WOLG0
20110922,SKLT0
20110922,HTSS0
20110922,OBHH0
20110923,WOSS0
20110923,OBHH0
20110924,OBHT0
20110924,SKLG0
20110924,WOSS0
20110924,LTHH0
20110925,OBHT0
20110925,SKLG0
20110925,WOSS0
20110925,LTHH0
20110927,SSOB0
20110927,WOSK0
20110928,SSOB0
20110928,WOSK0
20110928,LGHH0
20110929,LGWO0
20110929,HTOB0
20110929,SSSK0
20110930,HHWO0
20110930,SSSK0
20110930,OBLT0
20111001,HHWO0
20111001,LGOB0
20111001,SSSK0
20111002,HHWO0
20111002,LGOB0
20111003,LGOB0
20111003,SKSS0
20111004,SKHT0
20111004,SSLG0
20111004,HHLT0
20111005,OBWO0
20111005,SKHT0
20111005,SSLG0
20111005,HHLT0
20111006,OBWO0
20111006,SKHT0
20111006,SSLG0
20111006,HHLT0
