G_ID,SR_ID,SEASON_ID,G_DT,G_TM,S_NM,AWAY_ID,HOME_ID,AWAY_NM,HOME_NM,CANCEL_SC_ID,CANCEL_SC_NM,SR_NM
20180801KTHH0,0,2018,20180801,18:30,한밭,KT,HH,KT,한화,0,정상경기,정규시즌
20180801LGOB0,0,2018,20180801,18:30,잠실,LG,OB,LG,두산,0,정상경기,정규시즌
20180801WOSK0,0,2018,20180801,18:30,문학,WO,SK,넥센,SK,0,정상경기,정규시즌
20180801NCSS0,0,2018,20180801,18:30,대구,NC,SS,NC,삼성,0,정상경기,정규시즌
20180801LTHT0,0,2018,20180801,18:30,광주,LT,HT,롯데,KIA,0,정상경기,정규시즌
20180802KTHH0,0,2018,20180802,18:30,한밭,KT,HH,KT,한화,0,정상경기,정규시즌
20180802LGOB0,0,2018,20180802,18:30,잠실,LG,OB,LG,두산,0,정상경기,정규시즌
20180802WOSK0,0,2018,20180802,18:30,문학,WO,SK,넥센,SK,0,정상경기,정규시즌
20180802NCSS0,0,2018,20180802,18:30,대구,NC,SS,NC,삼성,0,정상경기,정규시즌
20180802LTHT0,0,2018,20180802,18:30,광주,LT,HT,롯데,KIA,0,정상경기,정규시즌
,,,20180803,,,,,,,,,
20180804NCHH0,0,2018,20180804,18:00,한밭,NC,HH,NC,한화,0,정상경기,정규시즌
20180804SKLG0,0,2018,20180804,18:00,잠실,SK,LG,SK,LG,0,정상경기,정규시즌
20180804SSLT0,0,2018,20180804,18:00,사직,SS,LT,삼성,롯데,0,정상경기,정규시즌
20180804WOKT0,0,2018,20180804,18:00,수원,WO,KT,넥센,KT,0,정상경기,정규시즌
20180804OBHT0,0,2018,20180804,18:00,광주,OB,HT,두산,KIA,0,정상경기,정규시즌
20180805NCHH0,0,2018,20180805,18:00,한밭,NC,HH,NC,한화,0,정상경기,정규시즌
20180805SKLG0,0,2018,20180805,18:00,잠실,SK,LG,SK,LG,0,정상경기,정규시즌
20180805SSLT0,0,2018,20180805,18:00,사직,SS,LT,삼성,롯데,0,정상경기,정규시즌
20180805WOKT0,0,2018,20180805,18:00,수원,WO,KT,넥센,KT,0,정상경기,정규시즌
20180805OBHT0,0,2018,20180805,18:00,광주,OB,HT,두산,KIA,0,정상경기,정규시즌
,,,20180806,,,,,,,,,
20180807KTNC0,0,2018,20180807,18:30,마산,KT,NC,KT,NC,0,정상경기,정규시즌
20180807HHOB0,0,2018,20180807,18:30,잠실,HH,OB,한화,두산,0,정상경기,정규시즌
20180807SSSK0,0,2018,20180807,18:30,문학,SS,SK,삼성,SK,0,정상경기,정규시즌
20180807HTWO0,0,2018,20180807,18:30,고척,HT,WO,KIA,넥센,0,정상경기,정규시즌
20180807LGLT0,0,2018,20180807,18:30,울산,LG,LT,LG,롯데,0,정상경기,정규시즌
20180808KTNC0,0,2018,20180808,18:30,마산,KT,NC,KT,NC,0,정상경기,정규시즌
20180808HHOB0,0,2018,20180808,18:30,잠실,HH,OB,한화,두산,0,정상경기,정규시즌
20180808SSSK0,0,2018,20180808,18:30,문학,SS,SK,삼성,SK,0,정상경기,정규시즌
20180808HTWO0,0,2018,20180808,18:30,고척,HT,WO,KIA,넥센,0,정상경기,정규시즌
20180808LGLT0,0,2018,20180808,18:30,울산,LG,LT,LG,롯데,0,정상경기,정규시즌
20180809SKNC0,0,2018,20180809,18:30,마산,SK,NC,SK,NC,0,정상경기,정규시즌
20180809SSLG0,0,2018,20180809,18:30,잠실,SS,LG,삼성,LG,0,정상경기,정규시즌
20180809OBKT0,0,2018,20180809,18:30,수원,OB,KT,두산,KT,0,정상경기,정규시즌
20180809LTHT0,0,2018,20180809,18:30,광주,LT,HT,롯데,KIA,0,정상경기,정규시즌
20180809WOHH0,0,2018,20180809,18:30,청주,WO,HH,넥센,한화,0,정상경기,정규시즌
20180810SKNC0,0,2018,20180810,18:30,마산,SK,NC,SK,NC,0,정상경기,정규시즌
20180810SSLG0,0,2018,20180810,18:30,잠실,SS,LG,삼성,LG,0,정상경기,정규시즌
20180810OBKT0,0,2018,20180810,18:30,수원,OB,KT,두산,KT,0,정상경기,정규시즌
20180810LTHT0,0,2018,20180810,18:30,광주,LT,HT,롯데,KIA,1,우천취소,정규시즌
20180810WOHH0,0,2018,20180810,18:30,청주,WO,HH,넥센,한화,0,정상경기,정규시즌
20180811KTHH0,0,2018,20180811,18:00,한밭,KT,HH,KT,한화,0,정상경기,정규시즌
20180811LTOB0,0,2018,20180811,18:00,잠실,LT,OB,롯데,두산,0,정상경기,정규시즌
20180811HTSK0,0,2018,20180811,18:00,문학,HT,SK,KIA,SK,0,정상경기,정규시즌
20180811NCSS0,0,2018,20180811,18:00,대구,NC,SS,NC,삼성,0,정상경기,정규시즌
20180811LGWO0,0,2018,20180811,18:00,고척,LG,WO,LG,넥센,0,정상경기,정규시즌
20180812KTHH0,0,2018,20180812,18:00,한밭,KT,HH,KT,한화,0,정상경기,정규시즌
20180812LTOB0,0,2018,20180812,18:00,잠실,LT,OB,롯데,두산,0,정상경기,정규시즌
20180812HTSK0,0,2018,20180812,18:00,문학,HT,SK,KIA,SK,0,정상경기,정규시즌
20180812NCSS0,0,2018,20180812,18:00,대구,NC,SS,NC,삼성,0,정상경기,정규시즌
20180812LGWO0,0,2018,20180812,18:00,고척,LG,WO,LG,넥센,0,정상경기,정규시즌
,,,20180813,,,,,,,,,
20180814SKOB0,0,2018,20180814,18:30,잠실,SK,OB,SK,두산,0,정상경기,정규시즌
20180814HHLT0,0,2018,20180814,18:30,사직,HH,LT,한화,롯데,0,정상경기,정규시즌
20180814WOSS0,0,2018,20180814,18:30,대구,WO,SS,넥센,삼성,0,정상경기,정규시즌
20180814NCKT0,0,2018,20180814,18:30,수원,NC,KT,NC,KT,0,정상경기,정규시즌
20180814LGHT0,0,2018,20180814,18:30,광주,LG,HT,LG,KIA,0,정상경기,정규시즌
20180815SKOB0,0,2018,20180815,18:00,잠실,SK,OB,SK,두산,0,정상경기,정규시즌
20180815HHLT0,0,2018,20180815,18:00,사직,HH,LT,한화,롯데,1,우천취소,정규시즌
20180815WOSS0,0,2018,20180815,18:00,대구,WO,SS,넥센,삼성,0,정상경기,정규시즌
20180815NCKT0,0,2018,20180815,18:00,수원,NC,KT,NC,KT,0,정상경기,정규시즌
20180815LGHT0,0,2018,20180815,18:00,광주,LG,HT,LG,KIA,0,정상경기,정규시즌
20180816WOOB0,0,2018,20180816,18:30,잠실,WO,OB,넥센,두산,0,정상경기,정규시즌
