date,gameid
20140329,LGOB0
20140329,WOSK0
20140329,HTSS0
20140330,LGOB0
20140330,WOSK0
20140330,HHLT0
20140330,HTSS0
20140331,HHLT0
20140401,OBWO0
20140401,SKLG0
20140401,NCHT0
20140401,SSHH0
20140402,OBWO0
20140402,SKLG0
20140402,NCHT0
20140402,SSHH0
20140403,OBWO0
20140403,SKLG0
20140403,NCHT0
20140404,WONC0
20140404,HTOB0
20140404,HHSK0
20140404,SSLT0
20140405,WONC0
20140405,HTOB0
20140405,HHSK0
20140405,SSLT0
20140406,WONC0
20140406,HTOB0
20140406,HHSK0
20140406,SSLT0
20140408,HHNC0
20140408,HTWO0
20140408,SKOB0
20140408,LGLT0
20140409,HHNC0
20140409,HTWO0
20140409,SKOB0
20140409,LGLT0
20140410,HHNC0
20140410,HTWO0
20140410,SKOB0
20140410,LGLT0
20140411,NCLG0
20140411,SKSS0
20140411,LTHT0
20140411,WOHH0
20140412,NCLG0
20140412,SKSS0
20140412,LTHT0
20140412,WOHH0
20140413,NCLG0
20140413,SKSS0
20140413,LTHT0
20140413,WOHH0
20140415,WOLG0
20140415,NCLT0
20140415,OBSS0
20140415,HHHT0
20140416,WOLG0
20140416,NCLT0
20140416,OBSS0
20140416,HHHT0
20140418,SSNC0
20140418,LTOB0
20140418,HTSK0
20140418,LGHH0
20140419,SSNC0
20140419,LTOB0
20140419,HTSK0
20140419,LGHH0
20140420,SSNC0
20140420,LTOB0
20140420,HTSK0
20140420,LGHH0
20140422,LTWO0
20140422,NCSK0
20140422,LGSS0
20140422,OBHH0
20140423,LTWO0
20140423,NCSK0
20140423,LGSS0
20140423,OBHH0
20140424,LTWO0
20140424,NCSK0
20140424,LGSS0
20140424,OBHH0
20140425,OBNC0
20140425,SSWO0
20140425,HTLG0
20140425,SKLT0
20140426,OBNC0
20140426,SSWO0
20140426,HTLG0
20140426,SKLT0
20140427,OBNC0
20140427,SSWO0
20140427,HTLG0
20140427,SKLT0
20140429,LGNC0
20140429,WOOB0
20140429,SKHT0
20140430,LGNC0
20140430,WOOB0
20140430,SKHT0
20140430,LTHH0
20140501,LGNC0
20140501,WOOB0
20140501,SKHT0
20140501,LTHH0
20140503,OBLG0
20140503,LTSK0
20140503,NCSS0
20140503,WOHT0
20140504,OBLG0
20140504,LTSK0
20140504,NCSS0
20140504,WOHT0
20140505,OBLG0
20140505,LTSK0
20140505,NCSS0
20140505,WOHT0
20140506,NCWO0
20140506,HHLG0
20140506,SSSK0
20140506,OBLT0
20140507,NCWO0
20140507,HHLG0
20140507,SSSK0
20140507,OBLT0
20140508,NCWO0
20140508,HHLG0
20140508,SSSK0
20140508,OBLT0
20140509,LGWO0
20140509,LTNC0
20140509,SSOB0
20140509,HTHH0
20140510,LGWO0
20140510,LTNC0
20140510,SSOB0
20140510,HTHH0
20140511,LGWO0
20140511,LTNC0
20140511,SSOB0
20140511,HTHH0
20140513,HTNC0
20140513,LTLG0
20140513,OBSK0
20140513,HHSS0
20140514,HTNC0
20140514,LTLG0
20140514,OBSK0
20140514,HHSS0
20140515,HTNC0
20140515,LTLG0
20140515,OBSK0
20140515,HHSS0
20140516,NCOB0
20140516,WOLT0
20140516,SSHT0
20140516,SKHH0
20140517,NCOB0
20140517,WOLT0
20140517,SSHT0
20140517,SKHH0
20140518,NCOB0
20140518,WOLT0
20140518,SSHT0
20140518,SKHH0
20140520,HHWO0
