G_ID,SR_ID,SEASON_ID,G_DT,G_TM,S_NM,AWAY_ID,HOME_ID,AWAY_NM,HOME_NM,CANCEL_SC_ID,CANCEL_SC_NM,SR_NM
20121001LTHT0,0,2012,20121001,17:00,군산,LT,HT,롯데,KIA,0,정상경기,정규시즌
20121001OBWO0,0,2012,20121001,17:00,목동,OB,WO,두산,넥센,0,정상경기,정규시즌
20121001SKHH0,0,2012,20121001,17:00,한밭,SK,HH,SK,한화,0,정상경기,정규시즌
20121001SSLG0,0,2012,20121001,17:00,잠실,SS,LG,삼성,LG,0,정상경기,정규시즌
20121002LTHT0,0,2012,20121002,18:30,군산,LT,HT,롯데,KIA,0,정상경기,정규시즌
20121002OBWO0,0,2012,20121002,18:30,목동,OB,WO,두산,넥센,0,정상경기,정규시즌
20121002SKHH0,0,2012,20121002,18:30,한밭,SK,HH,SK,한화,0,정상경기,정규시즌
20121002SSLG0,0,2012,20121002,18:30,잠실,SS,LG,삼성,LG,0,정상경기,정규시즌
20121003HTHH0,0,2012,20121003,17:00,한밭,HT,HH,KIA,한화,0,정상경기,정규시즌
20121003SKLG0,0,2012,20121003,17:00,잠실,SK,LG,SK,LG,0,정상경기,정규시즌
20121003OBSS0,0,2012,20121003,17:00,대구,OB,SS,두산,삼성,0,정상경기,정규시즌
20121004WOHH0,0,2012,20121004,18:30,한밭,WO,HH,넥센,한화,0,정상경기,정규시즌
20121004SKSS0,0,2012,20121004,18:30,대구,SK,SS,SK,삼성,0,정상경기,정규시즌
20121005SSHT0,0,2012,20121005,18:30,무등,SS,HT,삼성,KIA,0,정상경기,정규시즌
20121005WOOB0,0,2012,20121005,18:30,잠실,WO,OB,넥센,두산,0,정상경기,정규시즌
20121005LTSK0,0,2012,20121005,18:30,문학,LT,SK,롯데,SK,0,정상경기,정규시즌
20121006SSHT0,0,2012,20121006,17:00,무등,SS,HT,삼성,KIA,0,정상경기,정규시즌
20121006LGOB0,0,2012,20121006,17:00,잠실,LG,OB,LG,두산,0,정상경기,정규시즌
20121006LTSK0,0,2012,20121006,17:00,문학,LT,SK,롯데,SK,0,정상경기,정규시즌
,,,20121007,,,,,,,,,
20121008LTOB0,3,2012,20121008,18:00,잠실,LT,OB,롯데,두산,0,정상경기,와일드카드
20121009LTOB0,3,2012,20121009,18:00,잠실,LT,OB,롯데,두산,0,정상경기,와일드카드
,,,20121010,,,,,,,,,
20121011OBLT0,3,2012,20121011,18:00,사직,OB,LT,두산,롯데,0,정상경기,와일드카드
20121012OBLT0,3,2012,20121012,18:00,사직,OB,LT,두산,롯데,0,정상경기,와일드카드
,,,20121013,,,,,,,,,
,,,20121014,,,,,,,,,
,,,20121015,,,,,,,,,
20121016LTSK0,5,2012,20121016,18:00,문학,LT,SK,롯데,SK,0,정상경기,플레이오프
20121017LTSK0,5,2012,20121017,18:00,문학,LT,SK,롯데,SK,0,정상경기,플레이오프
,,,20121018,,,,,,,,,
20121019SKLT0,5,2012,20121019,18:00,사직,SK,LT,SK,롯데,0,정상경기,플레이오프
20121020SKLT0,5,2012,20121020,14:00,사직,SK,LT,SK,롯데,0,정상경기,플레이오프
,,,20121021,,,,,,,,,
20121022LTSK0,5,2012,20121022,18:00,문학,LT,SK,롯데,SK,0,정상경기,플레이오프
,,,20121023,,,,,,,,,
20121024SKSS0,7,2012,20121024,18:00,대구,SK,SS,SK,삼성,0,정상경기,올스타전
20121025SKSS0,7,2012,20121025,18:00,대구,SK,SS,SK,삼성,0,정상경기,올스타전
,,,20121026,,,,,,,,,
20121027SSSK0,7,2012,20121027,14:00,문학,SS,SK,삼성,SK,1,우천취소,올스타전
20121028SSSK0,7,2012,20121028,14:00,문학,SS,SK,삼성,SK,0,정상경기,올스타전
20121029SSSK0,7,2012,20121029,18:00,문학,SS,SK,삼성,SK,0,정상경기,올스타전
,,,20121030,,,,,,,,,
20121031SKSS0,7,2012,20121031,18:00,잠실,SK,SS,SK,삼성,0,정상경기,올스타전
