G_ID,SR_ID,SEASON_ID,G_DT,G_TM,S_NM,AWAY_ID,HOME_ID,AWAY_NM,HOME_NM,CANCEL_SC_ID,CANCEL_SC_NM,SR_NM
20120401HHHT0,1,2012,20120401,13:00,무등,HH,HT,한화,KIA,0,정상경기,시범경기
20120401WOLG0,1,2012,20120401,13:00,잠실,WO,LG,넥센,LG,0,정상경기,시범경기
20120401SKLT0,1,2012,20120401,13:00,사직,SK,LT,SK,롯데,0,정상경기,시범경기
20120401OBSS0,1,2012,20120401,13:00,대구,OB,SS,두산,삼성,0,정상경기,시범경기
,,,20120402,,,,,,,,,
,,,20120403,,,,,,,,,
,,,20120404,,,,,,,,,
,,,20120405,,,,,,,,,
,,,20120406,,,,,,,,,
20120407HTSK0,0,2012,20120407,13:55,문학,HT,SK,KIA,SK,0,정상경기,정규시즌
20120407HHLT0,0,2012,20120407,13:55,사직,HH,LT,한화,롯데,0,정상경기,정규시즌
20120407WOOB0,0,2012,20120407,14:00,잠실,WO,OB,넥센,두산,0,정상경기,정규시즌
20120407LGSS0,0,2012,20120407,14:00,대구,LG,SS,LG,삼성,0,정상경기,정규시즌
20120408WOOB0,0,2012,20120408,14:00,잠실,WO,OB,넥센,두산,0,정상경기,정규시즌
20120408HTSK0,0,2012,20120408,14:00,문학,HT,SK,KIA,SK,0,정상경기,정규시즌
20120408HHLT0,0,2012,20120408,14:00,사직,HH,LT,한화,롯데,0,정상경기,정규시즌
20120408LGSS0,0,2012,20120408,14:00,대구,LG,SS,LG,삼성,0,정상경기,정규시즌
,,,20120409,,,,,,,,,
20120410SKWO0,0,2012,20120410,18:30,목동,SK,WO,SK,넥센,1,우천취소,정규시즌
20120410SSHT0,0,2012,20120410,18:30,무등,SS,HT,삼성,KIA,1,우천취소,정규시즌
20120410LTLG0,0,2012,20120410,18:30,잠실,LT,LG,롯데,LG,1,우천취소,정규시즌
20120410OBHH0,0,2012,20120410,18:30,청주,OB,HH,두산,한화,1,우천취소,정규시즌
20120411SKWO0,0,2012,20120411,18:30,목동,SK,WO,SK,넥센,0,정상경기,정규시즌
20120411SSHT0,0,2012,20120411,18:30,무등,SS,HT,삼성,KIA,0,정상경기,정규시즌
20120411LTLG0,0,2012,20120411,18:30,잠실,LT,LG,롯데,LG,0,정상경기,정규시즌
20120411OBHH0,0,2012,20120411,18:30,청주,OB,HH,두산,한화,0,정상경기,정규시즌
20120412SKWO0,0,2012,20120412,18:30,목동,SK,WO,SK,넥센,0,정상경기,정규시즌
20120412SSHT0,0,2012,20120412,18:30,무등,SS,HT,삼성,KIA,0,정상경기,정규시즌
20120412LTLG0,0,2012,20120412,18:30,잠실,LT,LG,롯데,LG,0,정상경기,정규시즌
20120412OBHH0,0,2012,20120412,18:30,청주,OB,HH,두산,한화,0,정상경기,정규시즌
20120413HTLG0,0,2012,20120413,18:30,잠실,HT,LG,KIA,LG,0,정상경기,정규시즌
20120413HHSK0,0,2012,20120413,18:30,문학,HH,SK,한화,SK,0,정상경기,정규시즌
20120413OBLT0,0,2012,20120413,18:30,사직,OB,LT,두산,롯데,0,정상경기,정규시즌
20120413WOSS0,0,2012,20120413,18:30,대구,WO,SS,넥센,삼성,0,정상경기,정규시즌
20120414HTLG0,0,2012,20120414,17:00,잠실,HT,LG,KIA,LG,0,정상경기,정규시즌
20120414HHSK0,0,2012,20120414,17:00,문학,HH,SK,한화,SK,0,정상경기,정규시즌
20120414OBLT0,0,2012,20120414,17:00,사직,OB,LT,두산,롯데,0,정상경기,정규시즌
20120414WOSS0,0,2012,20120414,17:00,대구,WO,SS,넥센,삼성,0,정상경기,정규시즌
20120415HTLG0,0,2012,20120415,14:00,잠실,HT,LG,KIA,LG,0,정상경기,정규시즌
20120415HHSK0,0,2012,20120415,14:00,문학,HH,SK,한화,SK,0,정상경기,정규시즌
20120415OBLT0,0,2012,20120415,14:00,사직,OB,LT,두산,롯데,0,정상경기,정규시즌
20120415WOSS0,0,2012,20120415,14:00,대구,WO,SS,넥센,삼성,0,정상경기,정규시즌
,,,20120416,,,,,,,,,
20120417HTWO0,0,2012,20120417,18:30,목동,HT,WO,KIA,넥센,0,정상경기,정규시즌
20120417SSOB0,0,2012,20120417,18:30,잠실,SS,OB,삼성,두산,0,정상경기,정규시즌
20120417SKLT0,0,2012,20120417,18:30,사직,SK,LT,SK,롯데,0,정상경기,정규시즌
20120417LGHH0,0,2012,20120417,18:30,청주,LG,HH,LG,한화,0,정상경기,정규시즌
20120418HTWO0,0,2012,20120418,18:30,목동,HT,WO,KIA,넥센,0,정상경기,정규시즌
20120418SSOB0,0,2012,20120418,18:30,잠실,SS,OB,삼성,두산,0,정상경기,정규시즌
20120418SKLT0,0,2012,20120418,18:30,사직,SK,LT,SK,롯데,0,정상경기,정규시즌
20120418LGHH0,0,2012,20120418,18:30,청주,LG,HH,LG,한화,0,정상경기,정규시즌
20120419HTWO0,0,2012,20120419,18:30,목동,HT,WO,KIA,넥센,0,정상경기,정규시즌
20120419SSOB0,0,2012,20120419,18:30,잠실,SS,OB,삼성,두산,0,정상경기,정규시즌
20120419SKLT0,0,2012,20120419,18:30,사직,SK,LT,SK,롯데,0,정상경기,정규시즌
20120419LGHH0,0,2012,20120419,18:30,청주,LG,HH,LG,한화,0,정상경기,정규시즌
20120420LTHT0,0,2012,20120420,18:30,무등,LT,HT,롯데,KIA,0,정상경기,정규시즌
